barcode,name,category,quantity,price,mrp,unit,brand,badge,image
2,Fresh Tender Green Coconut,Fresh Fruits,50,90,108,1 pc,,Fresh Produce,https://images.unsplash.com/photo-1544717305-2782549b5136?w=400&auto=format&fit=crop&q=80
46,Fresh Bananas,Fresh Fruits,50,45,55,6 pcs,,Everyday,https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?w=400&auto=format&fit=crop&q=80
47,Nagpur Sweet Oranges,Fresh Fruits,50,90,110,1 kg,,Juicy,https://images.unsplash.com/photo-1547514701-42782101795e?w=400&auto=format&fit=crop&q=80
48,Kashmiri Cherries,Fresh Fruits,50,150,180,250 g,,Seasonal,https://images.unsplash.com/photo-1528821128474-27f963b062bf?w=400&auto=format&fit=crop&q=80
49,Seedless Green Grapes,Fresh Fruits,50,75,90,500 g,,Sweet,https://images.unsplash.com/photo-1537640538966-79f369143f8f?w=400&auto=format&fit=crop&q=80
50,Fresh Chicken Curry Cut,Chicken,50,160,190,500 g,,Bestseller,https://images.unsplash.com/photo-1604503468506-a8da13d82791?w=400&auto=format&fit=crop&q=80
51,Boneless Chicken Breast,Chicken,50,220,260,450 g,,High Protein,https://images.unsplash.com/photo-1587593810167-a84920ea0781?w=400&auto=format&fit=crop&q=80
52,Chicken Seekh Kebab,Chicken,50,185,210,250 g,,Ready to Cook,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=400&auto=format&fit=crop&q=80
53,Whole Chicken Skinless,Chicken,50,230,270,1 kg,,Farm Fresh,https://images.unsplash.com/photo-1604503468506-a8da13d82791?w=400&auto=format&fit=crop&q=80
1,Amul Gold Full Cream Milk,Dairy,50,36,38,500 ml,,Full Cream,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=400&auto=format&fit=crop&q=80
3,Mother Dairy Classic Curd,Dairy,50,35,38,390 g,,Bestseller,https://images.unsplash.com/photo-1563636619-e9143da7973b?w=400&auto=format&fit=crop&q=80
11,Amul Butter Salted,Dairy,50,58,60,100 g,,Bestseller,https://images.unsplash.com/photo-1589985270826-4b7bb135bc9d?w=400&auto=format&fit=crop&q=80
54,Farm Fresh Eggs,Dairy,50,48,55,6 pcs,,Daily Staple,https://images.unsplash.com/photo-1582722872445-44dc5f7e3c8f?w=400&auto=format&fit=crop&q=80
55,Amul Fresh Paneer,Dairy,50,95,105,200 g,,Fresh,https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=400&auto=format&fit=crop&q=80
56,Amul Cheese Slices,Dairy,50,85,95,100 g,,Breakfast,https://images.unsplash.com/photo-1486297678162-eb2a19b0a32d?w=400&auto=format&fit=crop&q=80
